Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
2018-06-27 12:05:22, 5.36, 401.43, 0.00, 1.47, 0.00, 1.00, 1.00, 69.79, 7.00, 12.66, 42.42, 40.30, 137.20, 0.00, -0.21, 16.00, 7000.00, -45.00
2018-06-27 12:05:23, 4.64, 402.83, 0.00, 1.47, 0.00, 1.00, 1.00, 70.03, 7.00, 12.67, 42.55, 39.89, 132.22, 0.00, -0.20, 16.00, 7000.00, -45.00
2018-06-27 12:05:24, 3.91, 404.12, 0.00, 1.47, 1.00, 1.00, 1.00, 70.25, 7.00, 12.65, 42.77, 39.55, 128.20, 0.00, -0.22, 20.00, 7000.00, -45.00
2018-06-27 12:05:25, 3.49, 405.17, 1692.88, 1.47, 0.00, 1.00, 1.00, 69.79, 7.07, 12.52, 42.93, 39.68, 133.69, 0.00, -0.17, 20.00, 4994.02, -53.00
2018-06-27 12:05:26, 3.67, 406.34, 1700.03, 1.47, 0.00, 1.00, 1.00, 69.25, 7.14, 12.61, 42.91, 40.05, 150.41, 0.00, -0.19, 20.00, 4919.69, -54.00
2018-06-27 12:05:27, 4.58, 407.63, 1758.96, 1.47, 0.00, 1.00, 1.00, 68.79, 7.21, 12.60, 43.05, 40.55, 165.59, 0.00, -0.21, 20.00, 4396.41, -56.00
2018-06-27 12:05:28, 5.92, 409.39, 1778.94, 1.47, 0.00, 1.00, 1.00, 68.44, 7.28, 12.63, 43.00, 40.84, 179.36, 0.00, -0.14, 20.00, 4388.43, -57.00
2018-06-27 12:05:29, 6.38, 411.14, 386.71, 1.47, 0.00, 1.00, 1.00, 68.35, 7.32, 12.70, 42.89, 40.63, 181.83, 0.00, -0.18, 16.00, 0.00, -26.00
2018-06-27 12:05:30, 5.89, 412.78, 0.00, 1.47, 0.00, 1.00, 1.00, 68.50, 7.34, 12.71, 42.73, 40.23, 166.84, 0.00, -0.19, 16.00, 7000.00, -44.00
2018-06-27 12:05:31, 5.62, 414.42, 0.00, 1.47, 0.00, 1.00, 1.00, 68.78, 7.34, 12.71, 42.62, 40.27, 158.05, 0.00, -0.20, 16.00, 7000.00, -44.00
2018-06-27 12:05:32, 5.51, 415.94, 1214.08, 1.47, 0.00, 1.00, 1.00, 68.96, 7.34, 12.53, 42.60, 40.09, 152.65, 0.00, -0.19, 20.00, 7000.00, -41.00
2018-06-27 12:05:33, 6.53, 417.70, 1443.77, 1.47, 0.00, 1.00, 1.00, 68.60, 7.41, 12.64, 42.75, 39.82, 163.93, 0.00, -0.20, 16.00, 7000.00, -45.00
2018-06-27 12:05:34, 6.52, 419.45, 1414.18, 1.47, 0.00, 1.00, 1.00, 68.76, 7.43, 12.54, 42.71, 39.60, 155.45, 0.00, -0.20, 20.00, 7000.00, -45.00
2018-06-27 12:05:35, 7.07, 421.33, 1753.46, 1.47, 0.00, 1.00, 1.00, 68.48, 7.49, 12.61, 42.70, 39.20, 158.68, 0.00, -0.18, 20.00, 4398.61, -56.00
2018-06-27 12:05:36, 8.18, 423.55, 1755.44, 1.47, 0.00, 1.00, 1.00, 68.25, 7.56, 12.60, 42.69, 39.09, 167.75, 0.00, -0.17, 20.00, 4397.82, -56.00
2018-06-27 12:05:37, 9.19, 426.01, 2013.15, 1.47, 0.00, 1.00, 1.00, 68.04, 7.62, 12.63, 42.66, 38.56, 173.11, 0.00, -0.18, 20.00, 4297.37, -61.00
2018-06-27 12:05:38, 9.22, 428.58, 1803.67, 1.47, 0.00, 1.00, 1.00, 67.84, 7.69, 12.64, 42.66, 37.88, 170.23, 0.00, -0.18, 20.00, 4378.53, -57.00
2018-06-27 12:05:39, 9.69, 431.51, 1955.89, 1.47, 0.00, 1.00, 1.00, 67.68, 7.76, 12.66, 42.76, 37.38, 169.11, 0.00, -0.20, 20.00, 4317.64, -60.00
2018-06-27 12:05:40, 9.65, 434.43, 1974.53, 1.47, 0.00, 1.00, 1.00, 67.47, 7.84, 12.68, 42.75, 37.18, 163.18, 0.00, -0.19, 20.00, 4310.19, -60.00
2018-06-27 12:05:41, 9.49, 437.36, 2376.47, 1.47, 0.00, 1.00, 1.00, 67.53, 7.89, 12.72, 42.91, 36.80, 150.60, 0.00, -0.13, 16.00, 4237.35, -69.00
2018-06-27 12:05:43, 9.39, 440.28, 0.00, 1.47, 0.00, 1.00, 1.00, 67.98, 7.89, 12.72, 42.75, 36.65, 143.98, 0.00, -0.20, 16.00, 4237.35, -69.00
2018-06-27 12:05:44, 9.19, 442.74, 0.00, 1.47, 0.00, 1.00, 1.00, 68.36, 7.89, 12.74, 42.83, 36.52, 140.45, 0.00, -0.20, 16.00, 4237.35, -69.00
2018-06-27 12:05:45, 9.11, 445.32, 0.00, 1.47, 0.00, 1.00, 1.00, 68.76, 7.89, 12.75, 42.98, 36.47, 136.34, 0.00, -0.18, 16.00, 4237.35, -69.00
2018-06-27 12:05:46, 8.83, 447.78, 0.00, 1.47, 0.00, 1.00, 1.00, 69.14, 7.89, 12.74, 42.91, 36.43, 132.73, 0.00, -0.19, 16.00, 4237.35, -69.00
2018-06-27 12:05:47, 8.62, 450.23, 0.00, 1.47, 0.00, 1.00, 1.00, 69.52, 7.89, 12.74, 43.05, 36.31, 130.30, 0.00, -0.19, 16.00, 4237.35, -69.00
2018-06-27 12:05:48, 8.44, 452.57, 0.00, 1.47, 0.00, 1.00, 1.00, 69.88, 7.89, 12.74, 43.11, 36.30, 127.50, 0.00, -0.20, 16.00, 4237.35, -69.00
2018-06-27 12:05:49, 8.17, 454.91, 0.00, 1.47, 0.00, 1.00, 1.00, 70.24, 7.89, 12.76, 43.02, 36.41, 125.35, 0.00, -0.18, 16.00, 4237.35, -69.00
2018-06-27 12:05:50, 7.99, 457.14, 0.00, 1.47, 1.00, 1.00, 1.00, 70.58, 7.89, 11.20, 43.11, 36.31, 122.88, 0.00, -0.22, 22.00, 4237.35, -69.00
2018-06-27 12:05:51, 7.83, 459.36, 128.98, 1.47, 1.00, 1.00, 1.00, 70.91, 7.89, 11.44, 43.22, 36.44, 119.70, 0.00, -0.25, 22.00, 0.00, -22.00
2018-06-27 12:05:52, 7.66, 461.47, 211.24, 1.47, 1.00, 1.00, 1.00, 71.00, 7.91, 11.57, 43.19, 36.36, 118.47, 0.00, -0.25, 22.00, 0.00, -23.00
2018-06-27 12:05:53, 7.45, 463.57, 1676.68, 1.47, 0.00, 1.00, 1.00, 70.79, 7.97, 12.51, 43.23, 36.26, 113.57, 0.00, -0.18, 20.00, 5162.53, -53.00
2018-06-27 12:05:54, 7.92, 465.80, 1760.64, 1.47, 0.00, 1.00, 1.00, 70.53, 8.04, 12.50, 43.27, 36.31, 125.57, 0.00, -0.19, 20.00, 4395.74, -56.00
2018-06-27 12:05:55, 8.71, 468.37, 1857.33, 1.47, 0.00, 1.00, 1.00, 70.29, 8.11, 12.58, 43.41, 36.20, 138.38, 0.00, -0.17, 20.00, 4357.07, -58.00
2018-06-27 12:05:56, 8.76, 471.07, 1487.36, 1.47, 0.00, 1.00, 1.00, 70.25, 8.16, 12.63, 43.38, 37.18, 137.12, 0.00, 0.19, 16.00, 7000.00, -46.00
2018-06-27 12:05:57, 8.79, 473.76, 0.00, 1.47, 0.00, 1.00, 1.00, 70.56, 8.17, 12.66, 43.33, 38.10, 130.32, 0.00, -0.10, 16.00, 4238.75, -69.00
2018-06-27 12:05:58, 5.02, 475.75, 0.00, 1.47, 0.00, 1.00, 1.00, 70.85, 8.17, 12.68, 43.35, 38.08, 126.42, 0.00, -0.08, 16.00, 4238.75, -69.00
2018-06-27 12:05:59, 4.41, 477.15, 0.00, 1.47, 0.00, 1.00, 1.00, 71.06, 8.17, 12.69, 43.41, 38.24, 123.30, 0.00, -0.33, 16.00, 4238.75, -69.00
2018-06-27 12:06:00, 4.24, 478.32, 0.00, 1.47, 0.00, 1.00, 1.00, 71.24, 8.17, 12.71, 43.50, 38.38, 121.31, 0.00, -0.26, 16.00, 4238.75, -69.00
2018-06-27 12:06:01, 4.19, 479.49, 0.00, 1.47, 0.00, 1.00, 1.00, 71.41, 8.17, 12.71, 43.44, 38.38, 118.91, 0.00, -0.25, 16.00, 4238.75, -69.00
2018-06-27 12:06:02, 4.45, 480.66, 0.00, 1.47, 0.00, 1.00, 1.00, 71.59, 8.17, 12.71, 43.48, 38.56, 116.84, 0.00, -0.24, 16.00, 4238.75, -69.00
2018-06-27 12:06:03, 4.74, 481.95, 0.00, 1.47, 0.00, 1.00, 1.00, 71.78, 8.17, 12.71, 43.53, 38.47, 115.37, 0.00, -0.23, 16.00, 4238.75, -69.00
2018-06-27 12:06:04, 5.13, 483.35, 0.00, 1.47, 0.00, 1.00, 1.00, 71.99, 8.17, 12.72, 43.60, 38.56, 113.65, 0.00, -0.23, 16.00, 4238.75, -69.00
2018-06-27 12:06:05, 5.38, 484.88, 0.00, 1.47, 0.00, 1.00, 1.00, 72.21, 8.17, 12.73, 43.62, 38.53, 112.36, 0.00, -0.22, 16.00, 4238.75, -69.00
2018-06-27 12:06:06, 5.58, 486.40, 0.00, 1.47, 0.00, 1.00, 1.00, 72.44, 8.17, 12.74, 43.63, 38.52, 110.87, 0.00, -0.21, 16.00, 4238.75, -69.00
2018-06-27 12:06:07, 7.70, 488.15, 0.00, 1.47, 0.00, 1.00, 1.00, 72.70, 8.17, 12.72, 43.68, 38.46, 109.40, 0.00, -0.21, 16.00, 4238.75, -69.00
2018-06-27 12:06:08, 6.64, 490.02, 0.00, 1.47, 0.00, 1.00, 1.00, 72.98, 8.17, 12.73, 43.68, 38.35, 108.34, 0.00, -0.21, 16.00, 4238.75, -69.00
2018-06-27 12:06:09, 6.91, 491.90, 0.00, 1.47, 0.00, 1.00, 1.00, 73.26, 8.17, 12.74, 43.65, 38.35, 107.15, 0.00, -0.20, 16.00, 4238.75, -69.00
2018-06-27 12:06:10, 7.19, 493.89, 0.00, 1.47, 0.00, 1.00, 1.00, 73.55, 8.17, 12.76, 43.78, 38.21, 105.96, 0.00, -0.19, 16.00, 4238.75, -69.00
2018-06-27 12:06:11, 7.44, 496.11, 0.00, 1.47, 0.00, 1.00, 1.00, 73.89, 8.17, 12.73, 43.65, 38.12, 104.84, 0.00, -0.21, 16.00, 4238.75, -69.00
2018-06-27 12:06:12, 7.19, 498.33, 0.00, 1.47, 0.00, 1.00, 1.00, 74.22, 8.17, 12.76, 43.73, 37.96, 103.88, 0.00, -0.20, 16.00, 4238.75, -69.00
2018-06-27 12:06:13, 7.03, 500.44, 0.00, 1.47, 0.00, 1.00, 1.00, 74.53, 8.17, 12.75, 43.75, 37.85, 102.84, 0.00, -0.19, 16.00, 4238.75, -69.00
2018-06-27 12:06:15, 7.01, 502.55, 0.00, 1.47, 1.00, 1.00, 1.00, 74.84, 8.18, 10.13, 43.65, 37.72, 101.23, 0.00, -0.22, 22.00, 0.00, -20.00
2018-06-27 12:06:16, 7.60, 504.89, 1701.74, 1.47, 0.00, 1.00, 1.00, 74.55, 8.24, 12.51, 43.73, 37.61, 117.38, 0.00, -0.18, 20.00, 4901.89, -54.00
2018-06-27 12:06:17, 7.89, 506.99, 342.64, 1.47, 0.00, 1.00, 1.00, 74.47, 8.29, 12.60, 43.62, 37.54, 122.95, 0.00, -0.19, 16.00, 0.00, -26.00
2018-06-27 12:06:18, 7.72, 509.22, 0.00, 1.47, 0.00, 1.00, 1.00, 74.71, 8.30, 12.65, 43.77, 37.29, 117.14, 0.00, -0.20, 16.00, 4283.66, -62.00
2018-06-27 12:06:19, 7.67, 511.32, 0.00, 1.47, 0.00, 1.00, 1.00, 75.01, 8.30, 12.68, 43.66, 37.15, 114.22, 0.00, -0.18, 16.00, 4283.66, -62.00
2018-06-27 12:06:20, 7.64, 513.43, 0.00, 1.47, 1.00, 1.00, 1.00, 75.32, 8.30, 8.92, 43.73, 37.04, 111.83, 0.00, -0.24, 22.00, 0.00, -20.00
2018-06-27 12:06:21, 7.50, 515.54, 1682.89, 1.47, 0.00, 1.00, 1.00, 75.24, 8.34, 12.47, 43.62, 37.02, 110.52, 0.00, -0.20, 20.00, 5097.97, -53.00
2018-06-27 12:06:22, 7.79, 517.64, 1816.04, 1.47, 0.00, 1.00, 1.00, 74.96, 8.41, 12.49, 43.73, 36.89, 120.90, 0.00, -0.20, 20.00, 4373.59, -57.00
2018-06-27 12:06:23, 8.50, 520.10, 1278.46, 1.47, 0.00, 1.00, 1.00, 74.75, 8.47, 12.61, 43.71, 36.70, 133.15, 0.00, -0.18, 16.00, 7000.00, -43.00
2018-06-27 12:06:24, 8.51, 522.44, 3842.09, 1.47, 0.00, 1.00, 1.00, 74.88, 8.49, 12.63, 43.71, 36.59, 125.14, 0.00, -0.19, 16.00, 4289.46, -104.00
2018-06-27 12:06:25, 8.52, 524.90, 0.00, 1.47, 0.00, 1.00, 1.00, 75.23, 8.49, 12.62, 43.69, 36.54, 122.05, 0.00, -0.20, 16.00, 4289.46, -104.00
2018-06-27 12:06:26, 8.23, 527.12, 0.00, 1.47, 0.00, 1.00, 1.00, 75.55, 8.49, 12.64, 43.71, 36.56, 118.73, 0.00, 0.57, 16.00, 4289.46, -104.00
2018-06-27 12:06:27, 8.11, 529.58, 0.00, 1.47, 0.00, 1.00, 1.00, 75.90, 8.49, 12.63, 43.69, 36.52, 116.16, 0.00, 0.46, 16.00, 4289.46, -104.00
2018-06-27 12:06:28, 7.79, 531.69, 0.00, 1.47, 0.00, 1.00, 1.00, 76.21, 8.49, 12.67, 43.68, 36.38, 114.41, 0.00, 0.65, 16.00, 4289.46, -104.00
2018-06-27 12:06:29, 7.02, 533.68, 0.00, 1.47, 0.00, 1.00, 1.00, 76.49, 8.49, 12.69, 43.73, 36.39, 112.29, 0.00, 0.68, 16.00, 4289.46, -104.00
2018-06-27 12:06:30, 6.11, 535.43, 0.00, 1.47, 0.00, 1.00, 1.00, 76.74, 8.49, 12.69, 43.75, 36.41, 110.40, 0.00, 0.65, 16.00, 4289.46, -104.00
2018-06-27 12:06:31, 4.82, 536.96, 0.00, 1.47, 0.00, 1.00, 1.00, 76.96, 8.49, 12.69, 43.75, 36.49, 109.13, 0.00, 0.85, 16.00, 4289.46, -104.00
2018-06-27 12:06:32, 2.70, 537.54, 0.00, 1.47, 0.00, 1.00, 1.00, 77.05, 8.49, 12.68, 43.75, 36.43, 107.59, 0.00, 2.07, 16.00, 4289.46, -104.00
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1970-01-01 00:00:01, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.98, 39.96, 34.94, 58.07, 0.00, 2.18, 16.00, 10.00, 0.00
1970-01-01 00:00:02, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.97, 39.95, 34.92, 58.08, 0.00, 2.18, 16.00, 10.00, 0.00
1970-01-01 00:00:03, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.94, 40.02, 35.02, 57.96, 0.00, 2.18, 16.00, 10.00, 0.00
1970-01-01 00:00:04, 0.00, 0.00, 0.00, 0.29, 0.00, 1.00, 1.00, 0.00, 0.00, 12.93, 40.05, 35.02, 57.98, 0.00, 2.18, 16.00, 10.00, 0.00
1970-01-01 00:00:05, 0.00, 0.00, 0.00, 0.28, 0.00, 1.00, 1.00, 0.00, 0.00, 12.91, 40.02, 35.06, 57.89, 0.00, 2.18, 16.00, 10.00, 0.00
1970-01-01 00:00:06, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.94, 35.08, 57.84, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:07, 0.00, 0.00, 0.00, 0.28, 0.00, 1.00, 1.00, 0.00, 0.00, 12.88, 39.94, 34.96, 57.80, 0.00, 2.18, 16.00, 10.00, 0.00
1970-01-01 00:00:08, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.98, 34.98, 57.64, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:09, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 40.01, 35.05, 57.66, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:10, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.89, 35.05, 57.59, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:11, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.87, 39.94, 34.97, 57.54, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:12, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.87, 39.95, 35.01, 57.38, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:13, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.84, 39.95, 34.96, 57.41, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:14, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.84, 39.95, 34.96, 57.34, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:15, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.84, 39.92, 34.96, 57.27, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:16, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.80, 34.95, 57.22, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:17, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.83, 39.92, 34.99, 57.17, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:18, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.88, 39.84, 34.94, 57.09, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:19, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.88, 39.80, 34.90, 57.08, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:20, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.80, 34.94, 56.91, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:21, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.88, 39.82, 34.88, 56.99, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:22, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.87, 39.75, 34.88, 56.78, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:23, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.80, 34.92, 56.80, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:24, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.68, 34.99, 56.73, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:25, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.71, 34.94, 56.64, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:26, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.73, 34.99, 56.52, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:27, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.60, 34.92, 56.46, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:28, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.69, 34.97, 56.37, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:29, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.73, 34.91, 56.38, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:30, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.70, 34.96, 56.30, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:31, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.75, 34.95, 56.19, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:32, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.68, 34.80, 56.16, 0.00, 2.17, 16.00, 10.00, 0.00
1970-01-01 00:00:33, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.83, 39.68, 34.85, 56.09, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:34, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.69, 34.90, 55.96, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:35, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.83, 39.66, 34.92, 55.91, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:36, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.84, 39.55, 34.90, 55.89, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:37, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.60, 34.86, 55.80, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:38, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.55, 34.91, 55.77, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:39, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.66, 34.88, 55.72, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:40, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.51, 34.86, 55.68, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:41, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.83, 39.57, 34.90, 55.59, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:42, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.51, 34.90, 55.47, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:43, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.51, 34.88, 55.42, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:44, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.83, 39.50, 34.79, 55.34, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:45, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.84, 39.45, 34.85, 55.29, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:46, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.41, 34.81, 55.24, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:47, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.86, 39.40, 34.90, 55.10, 0.00, 2.16, 16.00, 10.00, 0.00
1970-01-01 00:00:48, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.82, 39.46, 34.88, 55.04, 0.00, 2.15, 16.00, 10.00, 0.00
1970-01-01 00:00:49, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.82, 39.48, 34.88, 54.97, 0.00, 2.15, 16.00, 10.00, 0.00
1970-01-01 00:00:50, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.84, 39.40, 34.85, 54.90, 0.00, 2.15, 16.00, 10.00, 0.00
1970-01-01 00:00:51, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.83, 39.44, 34.86, 54.77, 0.00, 2.15, 16.00, 10.00, 0.00
1970-01-01 00:00:52, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.85, 39.41, 34.90, 54.77, 0.00, 2.15, 16.00, 10.00, 0.00
